# SMA Pointing Sources
# from http://sma1.sma.hawaii.edu/callist/callist.html
# 2024-01-15
#commonName,name,ra,dec,freq,date,obs,flux
--,0004-476,00:04:35.640,-47:36:19.73,['1mm'],['12 Oct 2010'],['SMA'],['0.31 ±  0.02']
--,0005+383,00:05:57.1754,+38:20:15.148,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.25 ±  0.01', '0.29 ±  0.02']"
--,0006-063,00:06:13.8928,-06:23:35.335,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.94 ±  0.05', '0.56 ±  0.03']"
--,0006+243,00:06:48.7893,+24:22:36.392,"['1mm', '850µm']","['26 Sep 2023', '11 Oct 2010']","['SMA', 'SMA']","['0.03 ±  0.01', '0.14 ±  0.03']"
--,0010+109,00:10:31.0058,+10:58:29.504,"['1mm', '850µm']","['03 Oct 2023', '09 Jun 2022']","['SMA', 'SMA']","['2.20 ±  0.11', '0.23 ±  0.02']"
--,0013+408,00:13:31.1302,+40:51:37.144,"['1mm', '850µm']","['20 Sep 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.45 ±  0.02', '0.22 ±  0.02']"
--,0014+612,00:14:48.8154,+61:17:43.852,"['1mm', '850µm']","['07 Feb 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.29 ±  0.02', '0.18 ±  0.04']"
--,0019+203,00:19:37.8545,+20:21:45.644,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.20 ±  0.01', '0.15 ±  0.01']"
--,0019+260,00:19:39.7805,+26:02:52.278,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.14 ±  0.01', '0.20 ±  0.02']"
--,0019+734,00:19:45.7864,+73:27:30.017,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.33 ±  0.01', '0.20 ±  0.02']"
--,0022+002,00:22:25.4259,+00:14:56.161,"['1mm', '850µm']","['07 Aug 2022', '19 Jan 2022']","['SMA', 'SMA']","['0.04 ±  0.01', '0.12 ±  0.04']"
--,0034+279,00:34:43.4861,+27:54:25.721,"['1mm', '850µm']","['26 Sep 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.04 ±  0.00', '0.11 ±  0.01']"
--,0050-094,00:50:41.3173,-09:29:05.210,"['1mm', '850µm']","['20 Sep 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.14 ±  0.01', '0.17 ±  0.04']"
--,0051-068,00:51:08.2097,-06:50:02.228,"['1mm', '850µm']","['20 Sep 2023', '16 May 2006']","['SMA', 'SMA']","['0.40 ±  0.02', '0.38 ±  0.12']"
ngc315,0057+303,00:57:48.8833,+30:21:08.812,"['1mm', '850µm']","['22 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.31 ±  0.02', '0.19 ±  0.04']"
--,0102+584,01:02:45.7623,+58:24:11.136,"['1mm', '850µm']","['06 Oct 2023', '09 Jun 2022']","['SMA', 'SMA']","['1.42 ±  0.05', '1.43 ±  0.07']"
--,0105+483,01:05:49.9281,+48:19:03.192,"['1mm', '850µm']","['26 May 2023', '28 Aug 2010']","['SMA', 'SMA']","['0.07 ±  0.02', '0.15 ±  0.03']"
--,0106-405,01:06:45.1079,-40:34:19.960,['1mm'],['21 Jan 2016'],['SMA'],['0.58 ±  0.04']
--,0108+015,01:08:38.7710,+01:35:00.317,"['1mm', '850µm']","['06 Oct 2023', '19 Jan 2022']","['SMA', 'SMA']","['2.41 ±  0.09', '1.68 ±  0.09']"
--,0112+227,01:12:05.8247,+22:44:38.786,"['1mm', '850µm']","['03 Oct 2023', '08 Jul 2021']","['SMA', 'SMA']","['1.23 ±  0.06', '1.63 ±  0.09']"
--,0113+498,01:13:27.0068,+49:48:24.043,"['1mm', '850µm']","['26 Apr 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.44 ±  0.03', '0.40 ±  0.03']"
--,0115-014,01:15:17.0999,-01:27:04.577,"['1mm', '850µm']","['16 Feb 2019', '28 Aug 2010']","['SMA', 'SMA']","['0.16 ±  0.01', '0.15 ±  0.03']"
--,0116-116,01:16:12.5219,-11:36:15.434,"['1mm', '850µm']","['22 Aug 2023', '29 Jun 2021']","['SMA', 'SMA']","['0.41 ±  0.03', '0.29 ±  0.04']"
--,0118-216,01:18:57.2621,-21:41:30.139,"['1mm', '850µm']","['02 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.52 ±  0.03', '0.36 ±  0.05']"
--,0120-270,01:20:31.6633,-27:01:24.652,"['1mm', '850µm']","['09 Jan 2022', '24 Sep 2008']","['SMA', 'SMA']","['0.49 ±  0.02', '0.33 ±  0.07']"
--,0121+118,01:21:41.5950,+11:49:50.413,"['1mm', '850µm']","['26 Sep 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.51 ±  0.03', '0.20 ±  0.02']"
--,0121+043,01:21:56.8616,+04:22:24.734,"['1mm', '850µm']","['26 Sep 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.67 ±  0.03', '0.50 ±  0.03']"
--,0122+250,01:22:38.8159,+25:02:31.793,"['1mm', '850µm']","['20 Sep 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.19 ±  0.01', '0.15 ±  0.02']"
